Segment,VADER_Positive,VADER_Neutral,VADER_Negative
2024-12-19 13:35:00,0.1625,0.7905,0.0475
2024-12-19 13:40:00,0.159,0.836,0.005
2024-12-19 13:45:00,0.177,0.811,0.012
2024-12-19 13:50:00,0.0,0.0,0.0
2024-12-19 13:55:00,0.0,0.0,0.0
2024-12-19 14:00:00,0.0,0.0,0.0
2024-12-19 14:05:00,0.138,0.822,0.04
2024-12-19 14:10:00,0.0,0.0,0.0
2024-12-19 14:15:00,0.0,0.0,0.0
2024-12-19 14:20:00,0.0995,0.7865,0.1145
2024-12-19 14:25:00,0.0,0.0,0.0
2024-12-19 14:30:00,0.0,0.911,0.089
2024-12-19 14:35:00,0.0,0.0,0.0
2024-12-19 14:40:00,0.0,0.0,0.0
2024-12-19 14:45:00,0.094,0.886,0.021
2024-12-19 14:50:00,0.0,0.922,0.078
2024-12-19 14:55:00,0.0,0.0,0.0
2024-12-19 15:00:00,0.0,0.0,0.0
2024-12-19 15:05:00,0.0,0.0,0.0
2024-12-19 15:10:00,0.0,0.0,0.0
2024-12-19 15:15:00,0.0,0.0,0.0
2024-12-19 15:20:00,0.0,0.0,0.0
2024-12-19 15:25:00,0.0,0.0,0.0
2024-12-19 15:30:00,0.0,0.0,0.0
2024-12-19 15:35:00,0.0,0.0,0.0
2024-12-19 15:40:00,0.169,0.799,0.032
2024-12-19 15:45:00,0.0,0.0,0.0
2024-12-19 15:50:00,0.0,0.0,0.0
2024-12-19 15:55:00,0.0,0.0,0.0
2024-12-20 09:30:00,0.16739024390243903,0.7826585365853658,0.049951219512195125
2024-12-20 09:35:00,0.144,0.723,0.133
2024-12-20 09:40:00,0.0,0.0,0.0
2024-12-20 09:45:00,0.0,0.0,0.0
2024-12-20 09:50:00,0.112,0.853,0.035
2024-12-20 09:55:00,0.0,0.0,0.0
2024-12-20 10:00:00,0.0,0.0,0.0
2024-12-20 10:05:00,0.0,0.0,0.0
2024-12-20 10:10:00,0.099,0.87,0.031
2024-12-20 10:15:00,0.12,0.793,0.087
2024-12-20 10:20:00,0.0,0.0,0.0
2024-12-20 10:25:00,0.0,0.0,0.0
2024-12-20 10:30:00,0.183,0.768,0.049
2024-12-20 10:35:00,0.0,0.0,0.0
2024-12-20 10:40:00,0.0,0.0,0.0
2024-12-20 10:45:00,0.0,0.0,0.0
2024-12-20 10:50:00,0.0,0.0,0.0
2024-12-20 10:55:00,0.171,0.714,0.115
2024-12-20 11:00:00,0.0,0.0,0.0
2024-12-20 11:05:00,0.0,0.912,0.088
2024-12-20 11:10:00,0.0,0.0,0.0
2024-12-20 11:15:00,0.0,0.0,0.0
2024-12-20 11:20:00,0.0,0.0,0.0
2024-12-20 11:25:00,0.0,0.0,0.0
2024-12-20 11:30:00,0.0,0.0,0.0
2024-12-20 11:35:00,0.0935,0.729,0.1775
2024-12-20 11:40:00,0.0,0.0,0.0
2024-12-20 11:45:00,0.0,0.0,0.0
2024-12-20 11:50:00,0.191,0.785,0.024
2024-12-20 11:55:00,0.0,0.0,0.0
2024-12-20 12:00:00,0.0,0.0,0.0
2024-12-20 12:05:00,0.0,0.0,0.0
2024-12-20 12:10:00,0.0,0.0,0.0
2024-12-20 12:15:00,0.0,0.0,0.0
2024-12-20 12:20:00,0.139,0.754,0.108
2024-12-20 12:25:00,0.0,0.0,0.0
2024-12-20 12:30:00,0.0,0.0,0.0
2024-12-20 12:35:00,0.0,0.0,0.0
2024-12-20 12:40:00,0.0,0.0,0.0
2024-12-20 12:45:00,0.0,0.0,0.0
